"LDTrt","freqfilms","Nlett","OLD20","AoA","IMA"
716.7,9.28,7,1.05,8.2,3.5
715.6,3.22,6,1.65,8.5,5
638.7,26.13,5,1.1,7.5,5.8
598.2,13.95,4,1.35,5.3,6.6
793,2.44,6,1.45,12.3,2.1
767.2,1.32,7,1.55,7.4,6
640.1,53.9,5,1.3,7.2,3.6
628.9,5.41,6,1.7,4.3,6.9
707.5,14.21,5,1.8,8.2,4.6
785,0.69,6,1.65,7.1,6.3
643.7,52.24,6,1.55,6.7,4.2
739.3,4.86,6,1.75,12.1,2.9
663.9,4.87,5,1.7,7,4.7
773.7,1,5,1.75,11.6,2.6
660.3,311.45,5,1.75,4.4,6.1
744.3,1.37,7,2,10.9,5.2
851.5,1.03,5,1.1,7.4,4.4
747.6,1.17,5,1.35,5.1,6.7
576.7,127.16,5,1.85,4.3,4.7
609.8,38.81,5,1.8,5.1,6
724.3,2.9,7,1.75,8.5,3.4
616,15.99,5,1.7,7.1,6.5
752.7,3.87,5,1.7,10.4,3.5
661.4,30.95,4,1.65,7.9,3.6
671.1,26.02,5,1.55,7.6,3.4
710.7,9.29,3,1.4,10.7,2.5
674.4,2.41,3,1.3,8.8,3.9
751.7,10.09,4,1,7.8,3.1
750.3,10.74,3,1,7.8,4
587.5,2.58,4,1,9.8,4.1
744.6,1.16,5,1.05,11,4
637.7,2.67,5,1.6,9.3,2.9
715.6,12.44,4,1.5,11.4,4.5
674,9.86,4,1.55,5.4,6.5
650.3,170.48,5,1.05,6.9,3.9
601.8,58.19,4,1,6.6,6.6
579.1,117.17,6,1.7,5.6,4.5
748.1,0.59,6,1.85,6.2,6.5
588.4,36.33,3,1.55,7.7,4.1
631.2,4.61,3,1.65,7.7,5.8
769.4,5.71,6,1.55,10.4,4.3
722.5,4.18,4,1.55,11.4,3.3
650.4,32.21,4,1.5,9.8,3.1
650.4,219.66,5,1.85,8.6,2.6
598.2,594.29,4,1.45,5.8,5.2
764.3,2.08,5,1.5,11,4.2
737.3,0.67,5,1.3,10.7,4.2
589.3,31.41,5,1.5,7,4.1
757.2,4.97,5,1.6,5.4,5.8
697.5,1.2,4,1.7,10.7,5.6
741,0.32,5,1.6,9.4,5.8
592.4,59.49,5,1.6,4.4,6.6
744.2,1.71,6,1.85,10.5,3.4
719.9,2.14,5,1.55,8.6,6.1
697.4,1.6,6,1.45,12.4,4.1
788.9,1.12,7,2.4,13,2.8
645.3,10.96,6,1.6,6.4,4.4
650.5,3.17,5,1.75,7.8,6.2
633.2,34.78,6,1.9,9.8,2.8
760.9,0.12,6,1.85,12.1,4.2
831,0.61,7,2,8.4,4.2
583.1,14.05,4,1.85,8.9,6.4
614.6,1.55,5,1.85,10.7,6
633,3.27,5,1.35,5.7,6.7
719.1,30.12,5,1.4,5.7,6.4
758.6,62.92,5,1.6,7.4,5.4
704.8,3.43,7,1.9,9.6,4.7
745.8,3.34,6,1.5,7.5,6.1
797.2,0.51,6,1.45,10,5
588,50.51,4,1.65,5.6,3.4
625.6,19.63,6,1.85,6.3,6
567.2,118.39,5,1.95,8.8,2.4
711.1,5.78,5,1.5,10.7,3.4
641,10.74,5,1.5,6.4,6
709.5,5.51,6,1.6,5.8,6.3
687.1,8.9,7,1.6,8.1,5.3
721.2,1.76,6,1.85,8.1,2.5
605.8,414.99,5,1.7,4.1,5.1
741.5,6.95,6,1.7,7.2,6.4
678.4,1.93,6,1.7,7.7,6.4
660.2,12.19,4,1.4,7,4.3
680.3,4.28,6,1.55,5.9,3.4
631.7,137.34,5,1.2,6.2,2.7
705.9,11.36,3,1.65,11.3,1.9
626.6,12.43,4,1.9,9.6,3.9
729.4,3.98,6,1.75,11.7,4.5
684.3,1.78,5,1.7,7.7,6.2
746.6,0.31,4,1.7,12.3,2.1
701.2,14.58,5,1.6,10.4,5.4
682.3,1.53,6,1.55,5.7,6.5
706.3,1.66,5,1.65,9.2,5.5
675.3,11,6,1.3,7.2,6
619.9,8.16,6,1.55,7.2,4.5
606.4,13.88,4,1.1,4.9,5.9
849.3,1.97,6,1.7,8,3.2
581.1,206.4,4,1.65,4.7,5.2
