"word","borrowing","phonology","phonlength","AoA","AoA_obj","subtlexzipf","conc","cat","source","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length","age_oldest","age_youngest","age_oldest_num","age_youngest_num","age","effect","ids.code","modern.english","middle.english","old.english","old.english.length"
"measure",1,"mEZ@R",5,"7.53",2,"4.48","3.59","Verb","French contact","French (Anglo-Norman)","mesurer",3.5,0.00961009148863515,7,"1340","1340","660","660","1340","Coexistence","12-540","measure","meten","metan",5
"latch",1,"l{J",3,"8.00",6,"3.15","4.79","Noun","French contact","French (Anglo-Norman)","lache",3.5,0.134541280840892,5,"1331","1331","669","669","1331","No information","7-231","latch","dore pin","",NA
"fence",1,"fEns",4,"6.28",2,"4.31","4.82","Noun","French contact","French","d√©fense",3.5,0.0096100914601519,7,"1330","1330","670","670","1330","Replacement","8-160","fence","fens","geard",5
"chimney",1,"JImnI",5,"6.58",2,"3.90","5.00","Noun","French contact","French","chemin√©e",3.5,0.0096100914601519,8,"1330","1330","670","670","1330","Insertion","7-330","chimney","chimeneÌ„","",NA
"mirror",1,"mIr@R",5,"4.89",2,"4.45","4.97","Noun","French contact","French","miroir",3.5,0.0288302743804557,6,"1330","1330","670","670","1330","Replacement","6-960","mirror","mirour","glÃ_s(?)",4
"ambush",1,"{mbUS",5,"9.30",4,"3.37","3.16","Noun","French contact","Old French","embusche",4.11764705882353,0.000899274671836846,8,"1330","1330","670","670","1330","No information","20-490","ambush","embushen","searu",5
"disease",1,"dIziz",5,"7.55",4,"4.49","3.45","Noun","French contact","Old French","disease",4.11764705882353,0.00756893134076628,7,"1330","1330","670","670","1330","Coexistence","","","","",NA
"train",1,"tr1n",4,"4.00",2,"4.98","4.79","Noun","French contact","French","train",3.5,0.134541280442127,5,"1330","1330","670","670","1330","Coexistence","","","","",NA
"remember",1,"rImEmb@R",8,"5.63",2,"5.52","2.41","Verb","French contact","French (Anglo-Norman)","remembrer",3.5,0.000505380314069954,9,"1330","1330","670","670","1330","Replacement","17-310","remember","monen","gemunan",7
"sock",1,"sQk",3,"2.94",2,"3.77","4.91","Noun","Latin contact","Latin","soccus",4.83333333333333,0.207542493517048,6,"1327","1327","673","673","1327","No information","6-490","stocking","hose","hosu",4
"plain",1,"pl1n",4,"7.37",4,"4.36","2.26","Adjective","French contact","French","plain",3.5,0.134541280442127,5,"1325","1325","675","675","1325","Replacement","1-230","plain","plain-e","feld",4
"boot",1,"but",3,"3.89",2,"4.43","4.96","Noun","French contact","Old French","bote",4.11764705882353,0.260911404452242,4,"1325","1325","675","675","1325","Replacement","6-520","boot","bote","",NA
"age",1,"1_",2,"4.38",2,"5.18","2.86","Noun","French contact","French","√¢ge",3.5,0.259472469424101,3,"1325","1325","675","675","1325","Coexistence","14-120","age","age","ieldo",5
"corpse",1,"k$ps",4,"10.00",6,"3.41","4.89","Noun","French contact","Middle French","cors",3.5,0.269094699162636,4,"1325","1325","675","675","1325","Coexistence","4-770","corpse","cors","liÌ„c",3
"grief",1,"grif",4,"8.39",6,"4.07","2.70","Noun","French contact","French (Anglo-Norman)","grief",3.5,0.134541280840892,5,"1325","1325","675","675","1325","Coexistence","16-320","grief","sorwe","saÌ„r",3
"nurse",1,"n3s",3,"5.84",2,"4.50","4.39","Noun","French contact","French (Anglo-Norman)","nourice",3.5,0.00961009148863515,7,"1325","1325","675","675","1325","Replacement","","","","",NA
"carpenter",1,"k#p@nt@R",8,"7.39",2,"3.61","4.41","Noun","French contact","French (Anglo-Norman)","carpentier",3.5,4.49959009150059e-05,10,"1325","1325","675","675","1325","Coexistence","9-430","carpenter","carpenter","treÌ„owwyrhta",11
"music",1,"mjuzIk",6,"3.81",2,"5.35","4.31","Noun","French contact","French (Anglo-Norman)","musique",3.5,0.00961009148863515,7,"1325","1325","675","675","1325","Coexistence","","","","",NA
"money",1,"mVnI",4,"5.11",2,"5.84","4.54","Noun","French contact","French (Anglo-Norman)","monai",3.5,0.134541280840892,5,"1325","1325","675","675","1325","Coexistence","11-430","money","monei-e","feoh",4
"count",1,"k6nt",4,"2.61",2,"4.71","3.00","Verb","French contact","French","compter",3.5,0.0096100914601519,7,"1325","1325","675","675","1325","Coexistence","13-107","count","counten","tellan",6
"pointed",1,"p4ntId",6,"#N/A",4,"4.14","3.57","Verb","French contact","French","point",3.5,0.134541280442127,5,"1325","1325","675","675","1325","Replacement","12-352","pointed","pointed","scearp(?)",6
"obey",1,"@b1",3,"5.44",2,"3.52","2.67","Verb","French contact","French","ob√©ir",3.5,0.134541280442127,5,"1325","1325","675","675","1325","Replacement","19-460","obey","obeien","hiÌ„ersumian",10
"cormorant",1,"k$m@r@nt",8,"14.22",13,"2.58","#N/A","Noun","French contact","Old French","cormoran",4.11764705882353,0.000899274671836846,8,"1320","1320","680","680","1320","Replacement","","","","",NA
"fairy",1,"f8rI",4,"5.17",2,"4.16","4.11","Noun","French contact","French (Anglo-Norman)","faierie",3.5,0.00961009148863515,7,"1320","1320","680","680","1320","Insertion","22-440","fairy","elf","Ã_lf",3
"flat",1,"fl{t",4,"5.68",4,"4.99","4.07","Noun","Old Norse contact","Old Norse","flatr",4.2093023255814,0.192299424020115,5,"1320","1320","680","680","1320","Replacement","12-710","flat","flat","efen",4
"carry",1,"k{rI",4,"5.16",2,"4.95","4.04","Verb","French contact","French (Anglo-Norman)","carier",3.5,0.0288302744659055,6,"1320","1320","680","680","1320","Insertion","10-610","carry","beren","beran",5
"cause",1,"k$z",3,"5.84",2,"4.83","2.43","Noun","French contact","French","cause",3.5,0.134541280442127,5,"1315","1315","685","685","1315","Coexistence","17-420","cause","causen","intinga",7
"tablet",1,"t{blIt",6,"6.83",2,"3.54","4.82","Noun","French contact","French (Anglo-Norman)","tablete",3.5,0.00961009148863515,7,"1315","1315","685","685","1315","Insertion","","","","",NA
"allow",1,"@l6",3,"5.32",2,"4.76","2.41","Verb","French contact","Old French","alouer",4.11764705882353,0.0521822808904484,6,"1315","1315","685","685","1315","Coexistence","19-470","let","leven","aÌ„lÃ_Ì„tan",6
"defendant",1,"dIfEnd@nt",9,"11.42",8,"3.48","3.80","Noun","French contact","Old French","deffendant",4.11764705882353,2.9285255797754e-06,10,"1314","1314","686","686","1314","Insertion","21-220","defendant","defendaunt","betigen",7
"citizen",1,"sItIzH",6,"7.74",4,"3.89","4.43","Noun","French contact","French (Anglo-Norman)","citezein",3.5,0.00961009148863515,8,"1314","1314","686","686","1314","No information","19-370","citizen","burgeis","ceasterware",11
"chase",1,"J1s",3,"5.53",2,"4.31","3.48","Noun","French contact","French (Anglo-Norman)","chacier",3.5,0.00961009148863515,7,"1314","1314","686","686","1314","Coexistence","10-530","pursue","purseuen","eÌ„htan",5
"defend",1,"dIfEnd",6,"8.16",2,"4.35","2.31","Verb","French contact","French","d√©fendre",3.5,0.0096100914601519,8,"1314","1314","686","686","1314","Replacement","20-440","defend","werren","ealgian",7
"because",1,"bIkQz",5,"4.44",2,"6.22","1.22","Conjunction",NA,"Latin","causa, earlier caussa",4.83333333333333,9.8948069702367e-27,21,"1305","1305","695","695",NA,NA,NA,NA,NA,NA,NA
"vine",1,"v2n",3,"6.95",4,"3.60","4.86","Noun","French contact","French","vigne",3.5,0.134541280442127,5,"1303","1303","697","697","1303","Insertion","8-670","vine","vine","wiÌ„ngeard",8
"gourd",1,"g9d",3,"10.65",6,"2.75","4.86","Noun","French contact","French","gourde",3.5,0.0288302743804557,6,"1303","1303","697","697","1303","Insertion","8-930","gourd","gourd-e","",NA
"judge",1,"_V_",3,"8.85",2,"4.69","3.75","Noun","French contact","French","juge",3.5,0.269082560884253,4,"1303","1303","697","697","1303","Replacement","21-180","judge","demere","deÌ„ma",4
"heron",1,"hEr@n",5,"10.35",8,"3.25","4.38","Noun","French contact","French (Anglo-Norman)","hairon",3.5,0.0288302744659055,6,"1302","1302","698","698","1302","No information","3-583","heron","heiroun","hraÌ„gra",6
"faithful",1,"f1TfUl",6,"8.42",6,"3.82","2.20","Adjective","French contact","French (Anglo-Norman)","fed",3.5,0.259472470193149,3,"1300","1300","700","700","1300","Replacement","16-650","faithful","treu-e","treÌ„owe",6
"quiet",1,"kw2@t",5,"4.15",2,"4.86","2.76","Adjective","French contact","French (Anglo-Norman)","quiete",3.5,0.0288302744659055,6,"1300","1300","700","700","1300","Coexistence","15-460","quiet","silence","smyltnes",8
"blue",1,"blu",3,"3.53",2,"5.16","3.76","Adjective","French contact","Old French","blue",4.11764705882353,0.260911404452242,4,"1300","1300","700","700","1300","No information","15-670","blue","bleu","hÃ_Ì„wen",5
"mute",1,"mjut",4,"9.84",8,"3.16","3.24","Adjective","French contact","French","muet",3.5,0.269082560884253,4,"1300","1300","700","700","1300","Coexistence","4-960","mute","domb","dumb",4
"same",1,"s1m",3,"5.62",2,"5.65","2.64","Determiner","Old Norse contact","Old Norse","s√°mr",4.2093023255814,0.403828790442242,4,"1300","1300","700","700","1300","Coexistence","","","","",NA
"skirt",1,"sk3t",4,"5.67",4,"3.81","4.82","Noun","Old Norse contact","Old Norse","skyrta",4.2093023255814,0.038459884804023,6,"1300","1300","700","700","1300","No information","6-460","skirt","skirt-e","lÃ_ppa",5
"people",1,"pipP",4,"3.52",2,"6.35","4.82","Noun","French contact","French (Anglo-Norman)","people",3.5,0.0288302744659055,6,"1300","1300","700","700","1300","Coexistence","19-210","people","folk","folc",4
"garden",1,"g#dH",4,"5.33",2,"5.28","4.73","Noun","French contact","French (Anglo-Norman)","gardin",3.5,0.0288302744659055,6,"1300","1300","700","700","1300","No information","8-130","garden","gardin","ortgeard",8
"statue",1,"st{Ju",5,"7.55",2,"4.02","4.93","Noun","Latin contact","Latin","statua",4.83333333333333,0.207542493517048,6,"1300","1300","700","700","1300","No information","9-830","statue","liknes-se","mannliÌ„ca",8
"forest",1,"fQrIst",6,"6.28",4,"4.67","4.76","Noun","French contact","French","for√™t",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Coexistence","1-410","woods","wode","wudu",4
"branch",1,"br#nJ",5,"5.11",2,"4.10","4.90","Noun","Latin contact","French","branche",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Replacement","8-550","branch","bough","telga",5
"debt",1,"dEt",3,"10.44",6,"4.79","2.72","Noun","French contact","French","dette",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Replacement","11-640","debt","dette","gylt",4
"chain",1,"J1n",3,"5.22",2,"4.49","4.55","Noun","French contact","French","cha√Æne",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Insertion","9-180","chain","chaine","racente",7
"chair",1,"J8R",3,"3.43",2,"4.66","4.58","Noun","French contact","Old French","chaire",4.11764705882353,0.0521822808904484,6,"1300","1300","700","700","1300","Replacement","7-430","chair","stol","stoÌ„l",4
"press",1,"prEs",4,"6.40",2,"4.89","3.90","Noun","French contact","French","presser",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Coexistence","9-342","press","pressen","Î¸ryccan",7
"voice",1,"v4s",3,"4.83",2,"4.89","4.13","Noun","French contact","French (Anglo-Norman)","voiz",3.5,0.269082561681784,4,"1300","1300","700","700","1300","Replacement","18-110","voice","voice","stefn",5
"elephant",1,"ElIf@nt",7,"4.80",2,"4.34","5.00","Noun","French contact","French","olifant",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Insertion","3-770","elephant","olifaunt","elpend",6
"sacrifice",1,"s{krIf2s",8,"9.61",6,"4.03","2.80","Noun","French contact","French","sacrifice",3.5,0.000505380312572062,9,"1300","1300","700","700","1300","Replacement","22-150","sacrifice","offring-e","onsÃ_gedness",11
"sledge",1,"slE_",4,"10.06",4,"3.30","4.11","Noun","Dutch or Middle Low German contact","Dutch","slede",3.63636363636364,0.15850374800074,5,"1300","1300","700","700","1300","No information","","","","",NA
"rock",1,"rQk",3,"3.22",2,"5.01","4.91","Noun",NA,"French (Anglo-Norman)","roque, rocque, roche",3.5,5.0966398137955e-25,20,"1300","1300","700","700",NA,NA,NA,NA,NA,NA,NA
"ointment",1,"4ntm@nt",7,"7.90",6,"2.96","4.50","Noun","French contact","French (Anglo-Norman)","oinement",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Coexistence","6-940","ointment","oinement","sealf",5
"battle",1,"b{tP",4,"6.95",2,"4.94","4.00","Noun","French contact","French","bataille",3.5,0.0096100914601519,8,"1300","1300","700","700","1300","Coexistence","20-130","war","wer-re","wig",3
"mattress",1,"m{trIs",6,"5.10",2,"3.44","5.00","Noun","French contact","French (Anglo-Norman)","materas",3.5,0.00961009148863515,7,"1300","1300","700","700","1300","Insertion","","","","",NA
"collar",1,"kQl@R",5,"6.56",2,"3.98","4.64","Noun","French contact","French","coler",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Insertion","6-450","collar","coler","wriÎ¸a",5
"stomach",1,"stVm@k",6,"5.26",4,"4.28","4.89","Noun","French contact","French","estomac",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Replacement","4-460","stomach","womb-e","wamb",4
"command",1,"k@m#nd",6,"8.67",2,"4.25","2.48","Noun","French contact","French (Anglo-Norman)","cumander",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Coexistence","19-450","command","commaunden","haÌ„tan",5
"cousin",1,"kVzH",4,"4.95",2,"4.26","3.70","Noun","French contact","French","cousin",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Replacement","2-550","cousin","cosin-e","moÌ„drige",7
"square",1,"skw8R",5,"4.11",4,"4.78","4.33","Noun","French contact","French (Anglo-Norman)","esquire",3.5,0.00961009148863515,7,"1300","1300","700","700","1300","Insertion","12-780","square","squar-e","feÌ„owerecd(ed)e",12
"towel",1,"t6@l",4,"3.22",2,"3.87","4.86","Noun","French contact","French (Anglo-Norman)","toaile",3.5,0.0288302744659055,6,"1300","1300","700","700","1300","Insertion","6-820","towel","touail","handclaÌ„Î¸",8
"blanket",1,"bl{NkIt",7,"3.61",2,"3.93","5.00","Noun","French contact","French (Anglo-Norman)","blankete",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Insertion","7-422","blanket","blanket","bedding",7
"cotton",1,"kQtH",4,"6.00",2,"4.10","4.97","Noun","French contact","French","coton",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Insertion","6-240","cotton","cotoun","",NA
"number",1,"nVmb@R",6,"3.94",2,"5.56","3.30","Noun","French contact","French","nombre",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Replacement","","","","",NA
"pain",1,"p1n",3,"4.26",2,"4.85","3.50","Noun","French contact","French","peine",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Coexistence","16-310","pain","sor-e","angnes",6
"pair",1,"p8R",3,"5.94",2,"4.91","3.88","Noun","French contact","French (Anglo-Norman)","paire",3.5,0.134541280840892,5,"1300","1300","700","700","1300","No information","13-370","pair","paire","twegen(?)",6
"study",1,"stVdI",5,"6.58",2,"4.61","3.70","Noun","French contact","French (Anglo-Norman)","estudier",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Coexistence","17-242","study","studien","cneordlÃ_Ì„can",11
"coat",1,"k5t",3,"3.58",2,"4.41","4.97","Noun","French contact","French","cote",3.5,0.269082560884253,4,"1300","1300","700","700","1300","Replacement","6-430","coat","cote","paÌ„d",3
"minister",1,"mInIst@R",8,"7.42",2,"5.44","4.22","Noun","French contact","French (Anglo-Norman)","menestre",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Insertion","","","","",NA
"soil",1,"s4l",3,"6.48",2,"4.35","4.87","Noun","French contact","French","seuil",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Coexistence","1-212","ground","erthe","eorÎ¸e",5
"poet",1,"p5It",4,"8.61",4,"4.09","4.36","Noun","French contact","French","po√®te",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Replacement","18-670","poet","poet-e","scop",4
"pasture",1,"p#sJ@R",6,"6.33",2,"3.27","4.78","Noun","French contact","French (Anglo-Norman)","pastour",3.5,0.00961009148863515,7,"1300","1300","700","700","1300","Coexistence","3-160","pasture","leswe","lÃ_Ì„s",3
"air",1,"8R",2,"3.94",2,"5.22","4.11","Noun","French contact","French","air",3.5,0.259472469424101,3,"1300","1300","700","700","1300","Replacement","1-710","air","lift","lyft",4
"bark",1,"b#k",3,"5.17",2,"3.92","4.52","Noun","Old Norse contact","Old Norse","b√∂rkr",4.2093023255814,0.192299424020115,5,"1300","1300","700","700","1300","Insertion","8-750","bark","bark","rind(e)",5
"niece",1,"nis",3,"7.00",6,"3.70","4.28","Noun","French contact","French (Anglo-Norman)","nice",3.5,0.269082561681784,4,"1300","1300","700","700","1300","Insertion","2-540","niece","nifte","nift",4
"poultry",1,"p5ltrI",6,"8.39",6,"3.21","4.72","Noun","French contact","French","pouleterie",3.5,4.4995900781643e-05,10,"1300","1300","700","700","1300","Coexistence","3-500","fowl","foul","henna",5
"enemy",1,"En@mI",5,"7.26",2,"4.38","2.83","Noun","French contact","French","ennemi",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Coexistence","19-520","enemy","enemi","unwine",6
"crocodile",1,"krQk@d2l",8,"5.11",4,"3.95","4.83","Noun","French contact","French (Anglo-Norman)","cocodrille",3.5,4.49959009150059e-05,10,"1300","1300","700","700","1300","Insertion","3-970","crocodile","cocodril","",NA
"ocean",1,"5SH",3,"4.74",2,"4.49","4.86","Noun","French contact","Middle French","ocean",3.5,0.134547349581318,5,"1300","1300","700","700","1300","Insertion","1-329","ocean","occean","garsecg",7
"spleen",1,"splin",5,"11.35",8,"3.12","4.70","Noun","French contact","Middle French","esplen",3.5,0.0288315749102824,6,"1300","1300","700","700","1300","Coexistence","4-452","spleen","splen-e","milte",5
"hospital",1,"hQspItP",7,"5.55",2,"5.08","4.64","Noun","Latin contact","Latin","hospitƒÅle",4.83333333333333,0.0230602770574497,9,"1300","1300","700","700","1300","Insertion","","","","",NA
"soldier",1,"s5l_@R",6,"6.94",4,"4.36","4.72","Noun","French contact","Old French","soldier",4.11764705882353,0.00756893134076628,7,"1300","1300","700","700","1300","Replacement","20-170","soldier","soudiour","hilderinc",9
"vein",1,"v1n",3,"8.53",6,"3.58","4.63","Noun","French contact","French","veine",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Replacement","4-151","vein","vein-e","Ã_Ì„dre",4
"try",1,"tr2",3,"3.44",2,"5.65","2.22","Verb","French contact","French","trier",3.5,0.134541280442127,5,"1300","1300","700","700","1300","Replacement","17-480","try","trien","costian",7
"deny",1,"dIn2",4,"7.80",6,"4.12","2.20","Verb","French contact","French","denier (now nier)",3.5,3.11534735926384e-17,17,"1300","1300","700","700","1300","No information","18-340","deny","denien","wiÎ¸-",3
"condemn",1,"k@ndEm",6,"12.50",6,"3.53","1.96","Verb","French contact","French (Anglo-Norman)","condemner",3.5,0.000505380314069954,9,"1300","1300","700","700","1300","Replacement","21-320","condemn","condempnen","(for)deÌ„man",8
"rescue",1,"rEskju",6,"7.17",6,"4.68","3.17","Verb","French contact","French (Anglo-Norman)","rescoure",3.5,0.00961009148863515,8,"1300","1300","700","700","1300","Coexistence","11-250","save","saven","nerian",6
"cover",1,"kVv@R",5,"5.42",2,"4.86","4.23","Verb","French contact","French","couvrir",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Coexistence","12-260","cover","coveren","wreÌ„on",5
"enter",1,"Ent@R",5,"5.67",2,"4.42","3.12","Verb","French contact","French","entrer",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Insertion","10-570","enter","entren","incuman",7
"conceive",1,"k@nsiv",6,"10.39",12,"3.19","2.04","Verb","French contact","French","concevoir",3.5,0.000505380312572062,9,"1300","1300","700","700","1300","No information","4-732","conceive","conceiven","geeÌ„acnian",9
"lift",1,"lIft",4,"4.74",2,"4.75","3.89","Verb","Old Norse contact","Old Norse","lypta",4.2093023255814,0.192299424020115,5,"1300","1300","700","700","1300","Replacement","10-220","raise","heven","heÌ„an",4
"cease",1,"sis",3,"9.26",8,"3.49","2.39","Verb","French contact","French","cesser",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Coexistence","14-280","cease","cesen","geswiÌ„can",8
"push",1,"pUS",3,"4.26",2,"4.92","4.21","Verb","French contact","French","pousser",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Coexistence","10-670","push","shouven","scuÌ„fan",6
"dance",1,"d#ns",4,"4.63",2,"5.12","4.32","Verb","French contact","French","danser",3.5,0.0288302743804557,6,"1300","1300","700","700","1300","Replacement","10-440","dance","dauncen","hleÌ„apan",7
"touch",1,"tVJ",3,"5.16",2,"5.10","3.86","Verb","French contact","French","toucher",3.5,0.0096100914601519,7,"1300","1300","700","700","1300","Replacement","15-710","touch","touchen","hriÌ„nan",6
"cast",1,"k#st",4,"7.24",4,"4.58","3.92","Verb","Old Norse contact","Old Norse","kasta",4.2093023255814,0.192299424020115,5,"1300","1300","700","700","1300","No information","9-630","cast metals","yeten","geÌ„otan(?)",6
"carcass",1,"k#k@s",5,"12.25",10,"3.45","4.46","Noun","French contact","French (Anglo-Norman)","carcois",3.5,0.00961009148863515,7,"1299","1299","701","701","1299","Coexistence","","","","",NA
"sugar",1,"SUg@R",5,"3.95",2,"4.84","4.87","Noun","French contact","Old French","zuchre",4.11764705882353,0.0521822808904484,6,"1299","1568","701","432","1299","Insertion","5-850","sugar","sugre","",NA
"roast",1,"r5st",4,"8.50",2,"4.18","4.40","Adjective","French contact","Old French","rostir",4.11764705882353,0.0521822808904484,6,"1297","1297","703","703","1297","No information","5-230","roast","rosten","brÃ_Ì„dan",6
"clear",1,"kl7R",4,"5.80",4,"5.37","3.55","Adjective","French contact","French (Anglo-Norman)","cler",3.5,0.269082561681784,4,"1297","1297","703","703","1297","No information","17-340","clear","cler","sweotol",7
"certain",1,"s3tH",4,"8.20",4,"4.99","1.68","Adjective","French contact","French","certain",3.5,0.0096100914601519,7,"1297","1297","703","703","1297","No information","17-370","sure","siker","gewiss",6
"ancestor",1,"{nsEst@R",8,"8.61",2,"3.38","3.24","Noun","French contact","French (Anglo-Norman)","ancestre",3.5,0.00961009148863515,8,"1297","1297","703","703","1297","Replacement","2-560","ancestors","eldren","ealdfÃ_deras",11
"second",1,"sEk@nd",6,"4.68",2,"5.61","3.30","Noun","French contact","French","second",3.5,0.0288302743804557,6,"1297","1297","703","703","1297","Coexistence","13-360","second","second","oÌ„Î¸er",4
"shop",1,"SQp",3,"5.78",2,"5.05","4.31","Noun","French contact","French (Anglo-Norman)","eschoppe",3.5,0.00961009148863515,8,"1297","1297","703","703","1297","Coexistence","11-860","store","shop-pe","(mangung)huÌ„s",10
"tent",1,"tEnt",4,"5.16",2,"4.21","4.96","Noun","French contact","French","tente",3.5,0.134541280442127,5,"1297","1297","703","703","1297","Insertion","7-140","tent","tent-e","(ge)teld",6
"aunt",1,"#nt",3,"3.80",2,"4.32","4.17","Noun","French contact","Old French","aunte",4.11764705882353,0.104364561780897,5,"1297","1297","703","703","1297","No information","2-520","aunt","aunte","faÎ¸u",4
"armour",1,"#m@R",4,"7.17",NA,"3.89","4.76","Noun","French contact","French (Anglo-Norman)","armure",3.5,0.0288302744659055,6,"1297","1297","703","703","1297","Replacement","20-310","armor","armure","searo",5
"dinner",1,"dIn@R",5,"3.99",2,"4.77","4.50","Noun","French contact","Old French","disner",4.11764705882353,0.0521822808904484,6,"1297","1297","703","703","1297","Replacement","5-440","dinner","diner","",NA
"store",1,"st$R",4,"4.76",2,"4.63","4.50","Noun","French contact","French (Anglo-Norman)","estorer",3.5,0.00961009148863515,7,"1297","1297","703","703","1297","No information","11-860","store","shop-pe","(mangung)huÌ„s",10
"river",1,"rIv@R",5,"4.90",2,"4.93","4.89","Noun","French contact","French (Anglo-Norman)","river",3.5,0.134541280840892,5,"1297","1297","703","703","1297","Replacement","1-360","river","river-e","siÌ„c",3
"judgment",1,"_V_m@nt",7,"8.94",6,"4.20","1.68","Noun","French contact","French","jugement",3.5,0.0096100914601519,8,"1297","1297","703","703","1297","Replacement","21-170","judgment","dom","doÌ„m",3
"tailor",1,"t1l@R",5,"9.83",4,"3.54","4.67","Noun","French contact","French","tailleur",3.5,0.0096100914601519,8,"1297","1297","703","703","1297","Insertion","6-130","tailor","taillour","seÌ„amere",7
"valley",1,"v{lI",4,"7.94",2,"4.47","4.72","Noun","French contact","French","vall√©e",3.5,0.0288302743804557,6,"1297","1297","703","703","1297","No information","1-240","valley","dale","dÃ_l",3
"accuse",1,"@kjuz",5,"9.10",4,"3.58","2.25","Verb","French contact","French","accuser",3.5,0.0096100914601519,7,"1297","1297","703","703","1297","No information","21-310","accuse","ac(c)cusen","wreÌ„gan",6
"marry",1,"m{rI",4,"5.83",4,"4.43","3.03","Verb","French contact","French","marier",3.5,0.0288302743804557,6,"1297","1297","703","703","1297","Coexistence","2-330","marry","wedden","weddian",7
"govern",1,"gVvH",4,"9.53",4,"3.57","2.21","Verb","French contact","French","gouverner",3.5,0.000505380312572062,9,"1297","1297","703","703","1297","Coexistence","19-310","rule","welden","wealdan",7
"destroy",1,"dIstr4",6,"6.70",2,"4.24","3.08","Verb","French contact","French (Anglo-Norman)","destruire",3.5,0.000505380314069954,9,"1297","1297","703","703","1297","No information","11-270","destroy","spillen","spillan",7
"join",1,"_4n",3,"5.83",2,"5.10","2.86","Verb","French contact","French","joindre",3.5,0.0096100914601519,7,"1297","1297","703","703","1297","Insertion","12-220","join","joinen","(ge)feÌ„gan",7
"punishment",1,"pVnISm@nt",9,"5.47",4,"4.06","2.46","Noun","French contact","French (Anglo-Norman)","punisement",3.5,4.49959009150059e-05,10,"1292","1292","708","708","1292","Replacement","21-370","penalty","pein-e","wiÌ„te",4
"damage",1,"d{mI_",5,"7.20",4,"4.81","3.20","Noun","French contact","Old French","damage",4.11764705882353,0.0521822808904484,6,"1292","1292","708","708","1292","Coexistence","11-280","damage","hurten","",NA
"corner",1,"k$n@R",5,"5.21",2,"4.96","4.61","Noun","French contact","French (Anglo-Norman)","corner",3.5,0.0288302744659055,6,"1292","1292","708","708","1292","Replacement","12-760","corner","corner","hyrne",5
"round",1,"r6nd",4,"4.75",2,"5.71","3.90","Adjective","French contact","French","rond",3.5,0.269082560884253,4,"1290","1290","710","710","1290","Replacement","12-810","round","round-e","sinewealt",9
"face",1,"f1s",3,"3.75",2,"5.44","4.87","Noun","French contact","French (Anglo-Norman)","face",3.5,0.269082561681784,4,"1290","1290","710","710","1290","Replacement","4-204","face","face","ansiÌ„en",6
"piece",1,"pis",3,"4.89",2,"5.27","4.14","Noun","French contact","French (Anglo-Norman)","peece",3.5,0.134541280840892,5,"1290","1290","710","710","1290","Coexistence","13-230","piece","part","",NA
"torch",1,"t$J",3,"7.84",6,"4.21","4.76","Noun","French contact","French","torche",3.5,0.0288302743804557,6,"1290","1290","710","710","1290","No information","7-450","lamp","laumpe","leÌ„ohtfÃ_t",8
"host",1,"h5st",4,"8.05",2,"4.39","3.63","Noun","French contact","Old French","hoste",4.11764705882353,0.104364561780897,5,"1290","1290","710","710","1290","Replacement","19-570","host","host-e","feormend",8
"uncle",1,"VNkP",4,"4.47",2,"4.56","4.24","Noun","French contact","French","oncle",3.5,0.134541280442127,5,"1290","1290","710","710","1290","Replacement","2-510","uncle","uncle","fÃ_dera",6
"jewel",1,"_u@l",4,"6.22",2,"3.76","4.96","Noun","French contact","French (Anglo-Norman)","juel",3.5,0.269082561681784,4,"1290","1290","710","710","1290","Replacement","6-720","jewel","jeuel","gim(staÌ„n)",7
"slave",1,"sl1v",4,"7.84",2,"3.87","4.38","Noun","French contact","French","esclave",3.5,0.0096100914601519,7,"1290","1290","710","710","1290","No information","19-420","slave","sclave","Î¸eÌ„ow(a)",5
