word,borrowing,phonology,phonlength,AoA,AoA_obj,subtlexzipf,conc,cat,source,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,age_oldest,age_youngest,age_oldest_num,age_youngest_num,age,effect,ids.code,modern.english,middle.english,old.english,old.english.length,morph_code
she,5,Si,2,3.57,2,6.42,3.36,Pronoun,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,2-930,she,she,he’‹o,3,Z
bend,5,bEnd,4,5.56,2,4.17,3.88,Verb,None,English,NA,3.450980392,0.324104167,4,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-140,bend,bouen,bendan,6,M
work,5,w3k,3,5.86,2,5.99,3.48,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-120,work,werken,weorc,5,M
do,5,du,2,3.6,2,6.85,2.46,Verb,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-110,do,don,do’‹n,3,M
eat,5,it,2,2.78,2,5.21,4.44,Verb,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,5-110,eat,eten,etan,4,M
rake,5,r1k,3,5.32,2,3.4,4.84,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,8-270,rake,rake,raca,4,Z
lie,5,l2,2,3.75,4,4.77,3.11,Verb,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,16-670,lie,lien,le’‹ogan,6,Z
throw,5,Tr5,3,4.14,2,4.88,4.04,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,10-250,throw,throuen,weorpan,7,M
carve,5,k#v,3,6.35,2,3.57,3.69,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-810,carve,kerven,ceorfan,7,M
fathom,5,f{D@m,5,11.44,8,2.93,2.07,Verb,None,English,NA,3.450980392,0.095324755,5,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,12-541,span,spanne,handbred,8,Z
sit,5,sIt,3,3.47,2,5.14,4.8,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,12-130,sit,sitten,sittan,6,M
sew,5,s5,2,6.05,NA,3.36,3.93,Verb,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,6-350,sew,seuen,se’‹owan,6,M
say,5,s1,2,3.42,2,6.13,2.58,Verb,None,English,NA,3.450980392,0.142987133,2,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,18-220,say,seien,cwe‘Ÿan,6,I
ask,5,#sk,3,2.89,2,5.41,2.52,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,18-310,ask,asken,frignan,7,M
thresh,5,TrES,4,14,6,1.9,#N/A,Verb,None,English,NA,3.450980392,0.324104167,4,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,8-340,thresh,threshen,‘Ÿerscan,7,M
fall,5,f$l,3,4.71,2,5.01,4.04,Verb,None,English,NA,3.450980392,0.390831496,3,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,10-230,fall,fallen,feallan,7,M
bind,5,b2nd,4,10.24,6,3.48,3.4,Verb,None,English,NA,3.450980392,0.324104167,4,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-160,tie,binden,bindan,6,M
fold,5,f5ld,4,4.95,4,4.04,4.13,Verb,None,English,NA,3.450980392,0.324104167,4,Proto-Indo-European,Proto-Indo-European,6000,6000,Proto-Indo-European,,9-150,fold,folden,fealdan,7,M
