"","English.name","Japanese.name","Transcription","Katakana.reading","Picture.naming","Cognate.status","Japanese..L1..age.of.acquisition","English..L2..familiarity","Concreteness..L1.","No.Trans.L1.L2","No.Trans.L2.L1","NoM.L1","NoM.L2","Phonological.similarity","Semantic.similarity","subtlexzipf","Borrowed","age"
"176","toaster","トースター","toosutaa","トースター","Yes","C",3.5,3.6,5.8,1,1,1,1,3.5,4.7,5.24,NA,NA
"177","tomato","トマト","tomato","トマト","Yes","C",3.8,4.2,5.9,1,1,1,1,2.8,4.9,8.27,NA,NA
"178","tractor","トラクター","torakutaa","トラクター","Yes","C",3.7,2.7,5.2,1,1,1,1,3.6,4.8,6.42,NA,NA
"179","trap","ワナ","wana","ワナ","No","NC",4,3.5,3.9,1,1,1,1,1,4.3,6.29,"5. no evidence for borrowing","Old Japanese"
"180","truck","トラック","torakku","トラック","Yes","C",4.1,3.6,5.6,1,1,2,1,3.5,3.9,11.6,NA,NA
"181","trumpet","トランペット","toranpetto","トランペット","Yes","C",3.6,3.5,5.8,1,2,1,1,3.7,5,6.65,"1. clearly borrowed","Modern Japanese"
"182","turtle","カメ","kame","カメ","Yes","NC",3.4,3.3,5.7,1,1,1,1,1,4.8,8.05,"5. no evidence for borrowing","Old Japanese"
"183","umbrella","傘","kasa","カサ","Yes","NC",3.3,3.7,5.6,1,1,1,1,1,4.9,8.15,NA,NA
"184","vest","ベスト","besuto","ベスト","Yes","C",3.8,3.4,3.6,1,2,2,1,3.4,4.2,9.27,NA,NA
"185","view","眺め","nagame","ナガメ","No","NC",4.6,4.2,3.2,3,11,2,1,1,4.1,9.22,NA,NA
"186","violin","バイオリン","bairorin","バイオリン","Yes","C",3.7,3.7,5.7,1,1,1,2,3.3,4.8,7.41,NA,NA
"187","wake","覚める","sameru","サメル","No","NC",4.2,3.6,2.8,2,3,1,1,1,4.1,6.88,NA,NA
"188","warm","暖かい","atatakai","アタタカイ","No","NC",4.1,4,3.3,2,3,1,1,1,4.6,8.29,"5. no evidence for borrowing","Late Old Japanese"
"189","waste","浪費","rouhi","ロウヒ","No","NC",5,3.6,3.2,2,5,2,2,1,4,7.32,NA,NA
"190","wolf","オオカミ","ookami","オオカミ","Yes","NC",3.8,3,5.4,1,1,1,2,1.1,4.9,7.47,"5. no evidence for borrowing","Old Japanese"
