ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
DIGO_1,Digo 1,,-4.25,39.5,digo1243,dig
DIGO_2,Digo 2,,-4.25,39.5,digo1243,dig
DIGO,Digo,,-4.27,39.33,digo1243,dig
DING,Ding,,-4.33,19.5,ding1239,diz
DIRIKU,Diriku,,-18.33,21.67,diri1252,diu
DIRIM,Dirim,,7.84,11.63,diri1253,dir
DOE_2,Doe 2,,-6.0,38.58,doee1238,doe
DOE,Doe,,-6.0,38.58,doee1238,doe
DOKO,Doko,,3.0,23.08,ngom1268,ngc
DONG,Dong,,8.5,12.0,dong1293,doh
DUALA,Duala,,4.0,9.42,dual1243,dua
DUGURI,Duguri,,9.58,9.77,dugu1249,dbm
DUMA_2,Duma 2,,-0.95,13.0,duma1253,dma
DUMA,Duma,,-0.95,13.0,duma1253,dma
DURUMA,Duruma,,-3.78,39.08,duru1249,dug
DZEKE_DIBOLE,Dzeke Dibole,,1.08,17.25,dibo1245,bvx
DZING_A,Dzing A,,-4.33,19.5,ding1239,diz
DZING_B,Dzing B,,-4.33,19.5,ding1239,diz
DZING_KAANTSA,Dzing Kaantsa,,-4.33,19.5,ding1239,diz
DZING_SEDZO,Dzing Sedzo,,-4.33,19.5,ding1239,diz
DZODINKA,Dzodinka,,6.75,10.92,dzod1238,add
EDZAMA_DIBOLE,Edzama Dibole,,1.08,17.25,dibo1245,bvx
EFUTOP,Efutop,,5.92,8.33,efut1242,ofu
EGBUTA,Egbuta,,2.73,23.77,budz1238,bja
EHO_MBO,Eho Mbo,,5.23,9.85,mboc1235,mbo
EJAGHAM,Ejagham,,5.42,8.67,ejag1239,etu
EKAJUK,Ekajuk,,6.42,8.58,ekaj1238,eka
EKOI,Ekoi,,5.42,8.67,ejag1239,etu
EKPARABONG,Ekparabong,,6.08,8.67,ndoe1238,nbb
ELEKU_BONGINDA,Eleku Bonginda,,0.17,18.25,luse1252,lse
ELEKU_IBENGE,Eleku Ibenge,,0.17,18.25,luse1252,lse
ELUNG,Elung,,5.05,9.83,akoo1248,bss
ELWANA,Elwana,,-0.85,39.95,ilwa1237,mlk
ENYA_KIBOMBO,Enya Kibombo,,-0.5,25.25,enya1247,gey
ENYA_MANDA,Enya Manda,,-0.5,25.25,enya1247,gey
ENYA,Enya,,-0.5,25.25,enya1247,gey
EPENA_BOMITABA,Epena Bomitaba,,1.67,17.5,bomi1238,zmx
ESIMBI,Esimbi,,6.5,9.92,esim1238,ags
ESO_YALEMBA,Eso Yalemba,,1.25,23.75,sode1235,soc
ETON_CAMEROON,Eton Cameroon,,4.25,11.5,eton1253,eto
ETON,Eton,,4.25,11.5,eton1253,eto
EWONDO_2,Ewondo 2,,4.0,12.0,ewon1239,ewo
EWONDO_3,Ewondo 3,,4.0,12.0,ewon1239,ewo
EWONDO_4,Ewondo 4,,4.0,12.0,ewon1239,ewo
EWONDO,Ewondo,,4.0,12.0,ewon1239,ewo
F21_SUKUMA,F21 Sukuma,,-2.83,32.0,suku1261,suk
F23_SUMBWA_YEKE,F23 Sumbwa Yeke,,-3.67,32.0,sumb1240,suw
FAM,Fam,,7.54,10.51,famm1241,fam
FANG_GABON,Fang Gabon,,-1.0,11.42,fang1246,fan
FANG_MEKE,Fang Meke,,-1.0,11.42,fang1246,fan
FANG_NTUMU,Fang Ntumu,,-1.0,11.42,fang1246,fan
FANG_SOUANKE,Fang Souanke,,-1.0,11.42,fang1246,fan
FANG,Fang,,6.54,10.32,fang1248,fak
FEFE_1,Fefe 1,,5.25,10.17,fefe1239,fmp
FEFE_2,Fefe 2,,5.25,10.17,fefe1239,fmp
FULIRU,Fuliru,,-3.08,29.0,fuli1240,flr
FUMU_1,Fumu 1,,-3.67,15.33,teke1274,ifm
FUMU_2,Fumu 2,,-3.67,15.33,teke1274,ifm
FWE,Fwe,,-17.72,24.43,fwee1238,fwe
G44a_NGAZIDJA,G44a Ngazidja,,-11.8,43.3,ngaz1238,zdj
G65_KINGA,G65 Kinga,,-9.5,34.3,nucl1379,zga
GENGELE,Gengele,,-2.08,26.08,song1300,sod
GHOMALA_1,Ghomala 1,,5.42,10.33,ghom1247,bbj
GHOMALA_2,Ghomala 2,,5.42,10.33,ghom1247,bbj
GIKUYU,Gikuyu,,-0.75,36.75,kiku1240,kik
GIKUYU_2,Gikuyu 2,,-0.75,36.75,kiku1240,kik
GIRYAMA,Giryama,,-3.18,39.53,giry1241,nyf
GIRYAMA_2,Giryama 2,,-3.5,39.67,giry1241,nyf
GIRYAMA_3,Giryama 3,,-3.5,39.67,giry1241,nyf
GIRYAMA_4,Giryama 4,,-3.5,39.67,giry1241,nyf
GISIRA,Gisira,,-1.75,10.5,sira1266,swj
GOGO,Gogo,,-6.0,36.0,gogo1263,gog
GUSII,Gusii,,-0.75,34.83,gusi1247,guz
GWENO,Gweno,,-3.67,37.75,gwen1239,gwe
GWERE_2,Gwere 2,,1.08,33.92,gwer1238,gwr
GWERE,Gwere,,1.08,33.92,gwer1238,gwr
GYELE,Gyele,,2.47,10.25,gyel1242,gyi
H12_VILI_MAYUMBA,H12 Vili Mayumba,,-4.67,12.0,vili1238,vif
H166_KONGO_MANYANGA,H166 Kongo Manyanga,,-5.0,15.0,koon1244,kng
H41_MBALA_1,H41 Mbala 1,,-5.0,18.0,mbal1257,mdp
H42_HUNGANA_1,H42 Hungana 1,,-3.67,18.42,hung1278,hum
H42_HUNGANA_2,H42 Hungana 2,,-3.67,18.42,hung1278,hum
H42_HUNGANA_3,H42 Hungana 3,,-3.67,18.42,hung1278,hum
H42_HUNGANA_4,H42 Hungana 4,,-3.67,18.42,hung1278,hum
HADIMU,Hadimu,,-6.5,39.0,swah1253,swh
HANGALA,Hangala,,-4.0,15.0,laar1238,ldi
HAUT_KENYANG,Haut Kenyang,,5.67,9.5,keny1279,ken
HAYA_2,Haya 2,,-2.0,31.5,haya1250,hay
HAYA,Haya,,-2.0,31.5,haya1250,hay
HA,Ha,,-4.5,30.0,haaa1252,haq
HEHE,Hehe,,-8.0,36.0,hehe1240,heh
HEMBA_BWINYANYEMBA,Hemba Bwinyanyemba,,-6.25,27.17,hemb1242,hem
HEMBA_MAMBWE,Hemba Mambwe,,-6.25,27.17,hemb1242,hem
HERERO,Herero,,-20.58,19.0,here1253,her
HERERO_2,Herero 2,,-20.58,19.0,here1253,her
HIMA_RDC,Hima Rdc,,-0.5,30.5,nyan1307,nyn
HLUBI,Hlubi,,-26.5,31.0,swat1243,ssw
HOLOHOLO,Holoholo,,-5.17,29.92,holo1240,hoo
HOLU,Holu,,-8.7,16.7,holu1245,hol
HUNDE,Hunde,,-1.17,28.83,hund1239,hke
HUNDE_2,Hunde 2,,-1.17,28.83,hund1239,hke
HUNGANA,Hungana,,-3.67,18.42,hung1278,hum
IBEE,Ibee,,-3.0,18.0,saka1287,skt
IBOLO_BAMBOMBA_BOMITABA,Ibolo Bambomba Bomitaba,,1.67,17.5,bomi1238,zmx
IBONGO,Ibongo,,-3.17,12.0,bwis1242,bwz
IKIZU,Ikizu,,-1.99,34.36,ikiz1238,ikz
ILA,Ila,,-15.58,26.5,ilaa1246,ilb
ILWANA,Ilwana,,-0.85,39.95,ilwa1237,mlk
IMPFONDO,Impfondo,,2.4,17.63,bonj1234,bok
INDAAKA,Indaaka,,1.53,27.97,ndak1241,ndk
IPULO,Ipulo,,6.25,9.58,ipul1238,ass
ISANGU,Isangu,,-1.5,11.83,sang1333,snq
ISANZU,Isanzu,,-4.0,34.85,isan1243,isn
ISONGO,Isongo,,4.0,17.75,mbat1248,mdn
ISU_MENCHUM,Isu Menchum,,6.64,9.97,isum1240,isu
ISUKHA,Isukha,,0.25,27.83,idak1243,ida
ITANGA_BOMITABA,Itanga Bomitaba,,1.67,17.5,bomi1238,zmx
IWUM_WUUMBU_1,Iwum Wuumbu 1,,-3.67,15.33,teke1274,ifm
IWUM_WUUMBU_2,Iwum Wuumbu 2,,-3.67,15.33,teke1274,ifm
IYAA,Iyaa,,-3.5,13.2,yaka1274,iyx
J13_NKORE_HIMA,J13 Nkore Hima,,-0.5,30.5,nyan1307,nyn
J15_GANDA,J15 Ganda,,0.5,32.17,gand1255,lug
